No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Use daisyUI plugin,Ensure daisyUI is added to tailwind.config.js,Add daisyui to plugins array,Manual CSS overrides,"plugins: [require('daisyui')]","/* manual daisy-like css */",High,https://daisyui.com/docs/install/
2,Components,Button,Use daisyUI button classes,Use btn and variant classes (e.g. btn-primary),Raw tailwind classes,"button { class: ""btn btn-primary"" }","button { class: ""bg-blue-500 text-white ..."" }",Medium,https://daisyui.com/components/button/
3,Components,Navbar,Use daisyUI navbar structure,Use navbar navbar-start navbar-center navbar-end,Manual flexbox layouts,"div { class: ""navbar bg-base-100"" }","div { class: ""flex justify-between ..."" }",Medium,https://daisyui.com/components/navbar/
4,Components,Card,Use daisyUI card classes,Use card card-compact etc.,Manual card layouts,"div { class: ""card w-96 bg-base-100 shadow-xl"" }","div { class: ""rounded-lg shadow ..."" }",Medium,https://daisyui.com/components/card/
5,Components,Modal,Use daisyUI modal with checkbox or dialog,Use modal and modal-box classes,Manual absolute positioning,"div { class: ""modal"" }","div { class: ""fixed inset-0 ..."" }",Medium,https://daisyui.com/components/modal/
6,Components,Form Input,Use daisyUI input classes,Use input input-bordered,Raw tailwind input styling,"input { class: ""input input-bordered w-full"" }","input { class: ""border rounded ..."" }",Medium,https://daisyui.com/components/input/
7,Components,Toggle,Use daisyUI toggle class,Use toggle toggle-primary,Custom toggle CSS,"input { r#type: ""checkbox"", class: ""toggle"" }","/* complex custom toggle css */",Medium,https://daisyui.com/components/toggle/
8,Theming,Use daisyUI themes,Leverage built-in themes via data-theme attribute,Set data-theme on html or container,Hardcoded color classes,"html { data-theme: ""cupcake"" }","/* hardcoded colors everywhere */",Medium,https://daisyui.com/docs/themes/
9,Components,Drawer,Use daisyUI drawer for sidebars,Use drawer drawer-mobile drawer-side,Custom sidebar implementation,"div { class: ""drawer"" }","/* manual absolute sidebar */",Medium,https://daisyui.com/components/drawer/
10,Components,Tabs,Use daisyUI tabs,Use tabs tabs-boxed or tabs-lifted,Custom tab implementation,"div { class: ""tabs"" }","/* manual tab logic */",Low,https://daisyui.com/components/tabs/
